stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
200256,"NICHOLAS AV/CHARLES AV",,  40.634979, -74.140648,,,0,
200257,"NICHOLAS AV/CASTLETON AV",,  40.636066, -74.140182,,,0,
200259,"CASTLETON AV/HEBERTON AV",,  40.634995, -74.132820,,,0,
200260,"CASTLETON AV/PORT RICHMOND AV",,  40.635937, -74.135063,,,0,
200261,"CASTLETON AV/JEWETT AV",,  40.633640, -74.129646,,,0,
200263,"CASTLETON AV/TAYLOR ST",,  40.634048, -74.122726,,,0,
200264,"CASTLETON AV/ELIZABETH ST",,  40.634232, -74.120270,,,0,
200265,"CASTLETON AV/CAROLINE ST",,  40.634335, -74.118988,,,0,
200266,"CASTLETON AV/BROADWAY",,  40.634499, -74.117325,,,0,
200267,"CASTLETON AV/N BURGHER AV",,  40.634708, -74.114632,,,0,
200268,"CASTLETON AV/BEMENT AV",,  40.634697, -74.112427,,,0,
200269,"CASTLETON AV/OAKLAND AV",,  40.634678, -74.110832,,,0,
200270,"CASTLETON AV/DAVIS AV",,  40.634647, -74.108528,,,0,
200271,"CASTLETON AV/BARD AV",,  40.634644, -74.106163,,,0,
200272,"CASTLETON AV/KISSEL AV",,  40.634636, -74.104698,,,0,
200273,"CASTLETON AV/HUNTER PL",,  40.634464, -74.101791,,,0,
200274,"CASTLETON AV/RANDALL AV",,  40.633976, -74.099060,,,0,
200275,"CASTLETON AV/BRIGHTON AV",,  40.633923, -74.097740,,,0,
200276,"CASTLETON AV/HAVENWOOD RD",,  40.633114, -74.095772,,,0,
200278,"CASTLETON AV/WOODSTOCK AV",,  40.632641, -74.090088,,,0,
200279,"CASTLETON AV/WEBSTER AV",,  40.634254, -74.087654,,,0,
200280,"CASTLETON AV/CEBRA AV",,  40.634705, -74.086456,,,0,
200281,"CASTLETON AV/JERSEY ST",,  40.636097, -74.085228,,,0,
200284,"VICTORY BL/VAN DUZER ST",,  40.638145, -74.078239,,,0,
200285,"BAY ST/VICTORY BL",,  40.637543, -74.075897,,,0,
